iShares World ex U.S. Carbon Transition Readiness Aware Active ETF
Fund Holdings as of,"Dec 31, 2025"
Inception Date,"Apr 06, 2021"
Shares Outstanding,"4,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","799,575.73","0.35","799,575.73","51,692.00","15.47","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"UCB","UCB SA","Health Care","Equity","797,516.85","0.35","797,516.85","2,846.00","280.22","Belgium","Nyse Euronext - Euronext Brussels","USD","0.85","EUR","-"
"BOL","BOLIDEN","Materials","Equity","796,707.94","0.35","796,707.94","14,256.00","55.89","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"RKT","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","788,085.29","0.35","788,085.29","9,762.00","80.73","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","782,599.45","0.35","782,599.45","782,599.00","100.00","United States","-","USD","1.00","USD","-"
"9107","KAWASAKI KISEN LTD","Industrials","Equity","775,027.59","0.34","775,027.59","55,700.00","13.91","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"TSCO","TESCO PLC","Consumer Staples","Equity","769,194.20","0.34","769,194.20","129,441.00","5.94","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"CLNX","CELLNEX TELECOM SA","Communication","Equity","767,590.70","0.34","767,590.70","23,827.00","32.22","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"ALFA","ALFA LAVAL","Industrials","Equity","766,686.43","0.34","766,686.43","15,177.00","50.52","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"SCMN","SWISSCOM AG","Communication","Equity","751,110.13","0.33","751,110.13","1,034.00","726.41","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"LR","LEGRAND SA","Industrials","Equity","739,771.37","0.33","739,771.37","4,950.00","149.45","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"WRT1V","WARTSILA","Industrials","Equity","728,525.43","0.32","728,525.43","20,405.00","35.70","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.85","EUR","-"
"ENB","ENBRIDGE INC","Energy","Equity","727,307.47","0.32","727,307.47","15,179.00","47.92","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"7936","ASICS CORP","Consumer Discretionary","Equity","725,870.04","0.32","725,870.04","30,300.00","23.96","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"3407","ASAHI KASEI CORP","Materials","Equity","718,669.81","0.32","718,669.81","81,100.00","8.86","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"6702","FUJITSU LTD","Information Technology","Equity","712,547.13","0.32","712,547.13","25,800.00","27.62","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"IFC","INTACT FINANCIAL CORP","Financials","Equity","660,988.39","0.29","660,988.39","3,171.00","208.45","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"RHM","RHEINMETALL AG","Industrials","Equity","652,660.66","0.29","652,660.66","356.00","1,833.32","Germany","Xetra","USD","0.85","EUR","-"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","650,347.88","0.29","650,347.88","15,673.00","41.49","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","647,193.85","0.29","647,193.85","30,300.00","21.36","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"ATD","ALIMENTATION COUCHE TARD INC","Consumer Staples","Equity","631,725.64","0.28","631,725.64","11,552.00","54.69","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"LI","KLEPIERRE REIT SA","Real Estate","Equity","625,574.76","0.28","625,574.76","15,787.00","39.63","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"DGE","DIAGEO PLC","Consumer Staples","Equity","624,972.36","0.28","624,972.36","28,977.00","21.57","United Kingdom","London Stock Exchange","USD","0.74","GBP","Jan 01, 1998"
"CCO","CAMECO CORP","Energy","Equity","623,838.57","0.28","623,838.57","6,804.00","91.69","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","623,682.54","0.28","623,682.54","1,074.00","580.71","Sweden","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INGA","ING GROEP NV","Financials","Equity","620,621.77","0.27","620,621.77","22,009.00","28.20","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"16","SUN HUNG KAI PROPERTIES LTD","Real Estate","Equity","596,171.39","0.26","596,171.39","49,000.00","12.17","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"4543","TERUMO CORP","Health Care","Equity","592,318.73","0.26","592,318.73","40,900.00","14.48","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"AUTO","AUTO TRADER GROUP PLC","Communication","Equity","591,474.12","0.26","591,474.12","74,990.00","7.89","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","579,540.51","0.26","579,540.51","2,919.00","198.54","Germany","Xetra","USD","0.85","EUR","-"
"NSIS B","NOVOZYMES B","Materials","Equity","568,262.72","0.25","568,262.72","8,862.00","64.12","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.36","DKK","-"
"66","MTR CORPORATION CORP LTD","Industrials","Equity","558,977.32","0.25","558,977.32","146,000.00","3.83","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"4519","CHUGAI PHARMACEUTICAL LTD","Health Care","Equity","557,439.15","0.25","557,439.15","10,600.00","52.59","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"INF","INFORMA PLC","Communication","Equity","539,852.66","0.24","539,852.66","45,403.00","11.89","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"KNEBV","KONE","Industrials","Equity","532,297.19","0.24","532,297.19","7,484.00","71.12","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.85","EUR","-"
"A5G","AIB GROUP PLC","Financials","Equity","531,851.56","0.24","531,851.56","49,223.00","10.80","Ireland","Irish Stock Exchange - All Market","USD","0.85","EUR","-"
"GLE","SOCIETE GENERALE SA","Financials","Equity","531,059.98","0.23","531,059.98","6,580.00","80.71","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energy","Equity","521,187.78","0.23","521,187.78","30,333.00","17.18","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.85","EUR","-"
"AMUN","AMUNDI SA","Financials","Equity","521,128.13","0.23","521,128.13","6,285.00","82.92","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"6701","NEC CORP","Information Technology","Equity","518,313.18","0.23","518,313.18","15,300.00","33.88","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"8750","DAI-ICHI LIFE HOLDINGS INC","Financials","Equity","508,110.94","0.22","508,110.94","61,100.00","8.32","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"LATO B","LATOUR INVESTMENT CLASS B","Industrials","Equity","507,387.17","0.22","507,387.17","20,752.00","24.45","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"JDEP","JDE PEETS NV","Consumer Staples","Equity","501,587.98","0.22","501,587.98","13,405.00","37.42","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"5802","SUMITOMO ELECTRIC INDUSTRIES LTD","Consumer Discretionary","Equity","500,366.84","0.22","500,366.84","12,400.00","40.35","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"SHL","SIEMENS HEALTHINEERS AG","Health Care","Equity","499,391.08","0.22","499,391.08","9,466.00","52.76","Germany","Xetra","USD","0.85","EUR","-"
"CAP","CAPGEMINI","Information Technology","Equity","497,855.23","0.22","497,855.23","2,980.00","167.07","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"6146","DISCO CORP","Information Technology","Equity","491,703.08","0.22","491,703.08","1,600.00","307.31","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","486,048.04","0.21","486,048.04","49,600.00","9.80","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"1928","SANDS CHINA LTD","Consumer Discretionary","Equity","471,397.19","0.21","471,397.19","187,200.00","2.52","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"CLS","CELESTICA INC","Information Technology","Equity","469,766.08","0.21","469,766.08","1,586.00","296.20","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
